sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,永辉,连锁超市,永辉超市,永辉超市(重庆合川区合川宝龙店),乌苏,红乌苏500ml大罐装12箱装,红乌苏啤酒500ml*12罐/箱,6月嘉士伯超级品牌券59-20超便,75.9,12.0,4009796171864545823
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(景洪金地店),风花雪月,风花雪月500ml罐装12箱装,风花雪月500ml罐装12箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道-新,69.0,10.0,4009836171717148232
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,永辉,连锁超市,永辉超市,永辉线上超市(万国城店),乐堡,乐堡啤酒500ml大罐装12箱装,乐堡 啤酒500ml大罐装12箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,65.9,10.0,4009846171952887444
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二·啤酒红酒洋酒(昆明高新路站),乐堡,乐堡啤酒495ml瓶装,乐堡啤酒495ml/瓶,6.1-6.30品牌联盟29-6全渠道,40.0,6.0,4009896171923594785
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(玉溪万裕店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,50.0,8.0,4009906171899403961
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,永辉,连锁超市,永辉超市,永辉线上超市(嘉和广场店),乐堡,乐堡啤酒500ml大罐装12箱装,乐堡 啤酒500ml大罐装12箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,65.9,10.0,4009966171971749536
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(双江尹景花园店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,55.0,8.0,4009966171971769996
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,永辉,连锁超市,永辉超市,永辉线上超市(万国城店),乌苏,乌苏新疆酒花精酿啤酒1L*1罐,,6月嘉士伯超级品牌券25-10超便,38.4,6.0,4010050338013074152
bill,taobao,淘宝闪购,2026-06-08,CIB东南,酒小二,酒类专营店,酒小二,酒小二(东山西埔店),乌苏,红乌苏620ml大瓶装12箱装,红乌苏啤酒620ml*12瓶/箱,嘉士伯_满减券_6月CIB加持品牌券满79-20,89.0,20.0,4010060338148562448
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24H超市(苏州汾湖店),乌苏,红乌苏500ml大罐装6罐装,红乌苏 500ml*6多罐装,【闪购仓】6月深夜小酒馆49-15,49.8,8.0,4010190337958127355
bill,taobao,淘宝闪购,2026-06-08,CIB华南,酒小二,酒类专营店,酒小二,酒小二(深圳石岩店),乌苏,红乌苏620ml大瓶装12箱装,红乌苏啤酒620ml*12瓶/箱,6月嘉士伯超级品牌券79-30新供给,100.0,15.0,4010250338038312573
